new,old
MMDH_RICHNESS,RICHNESS
MMDH_RICHNESS_SCORE,RICH_SCORE
MMDH_EPT_RICH,EPT_RICH
MMDH_EPT_SCORE,EPT_SCORE
MMDH_HBI_INDEX,HBI
MMDH_HBI_SCORE,HBI_SCORE
MMDH_SHANNON,SHANNON
MMDH_SHANNON_SCORE,SHANNON_SCORE
MMDH_BIO_ASMT_PROFILE_SCORE,FINAL_SCORE
MMDH_PCT_MODEL_AFFINITY,PMA
MMDH_PCT_MODEL_AFFINITY_SCORE,PMA_SCORE
MMDH_NUTRIENT_BIOTIC_INDEX_P,NBI_P
MMDH_NBI_P_SCORE,NBI_P_SCORE
MMDH_NCO_RICH,NCO_RICH
MMDH_NCO_RICH_SCORE,NCO_RICH_SCORE
MMDH_PCT_DOMINANCE_3,PCT_DOM3
MMDH_PCT_DOMINANCE_3_SCORE,PCT_DOM3_SCORE
MMDH_LINKED_ID_VALIDATOR,MMDH_LINKED_ID_VALIDATOR
