"","EVENT_ID","LOCATION","RIVMILE","BASIN","DATE","RICHNESS","RICH_SCORE","EPT_RICH","EPT_SCORE","HBI","HBI_SCORE","PMA","PMA_SCORE","NBI_P","NBI_P_SCORE","FINAL_SCORE"
"1","0.5_PATS_13_2018-07-05_1","PATS","0.5","13",2018-07-05,24,6.76,2,3.06,5.74,5.95,50,5.16,7.45,1.37,4.46
"2","0.5_PATS_13_2018-07-05_2","PATS","0.5","13",2018-07-05,21,5.88,3,3.61,5.53,6.21,47,4.6,8.08,0,4.06
"3","0.5_PATS_13_2018-07-05_3","PATS","0.5","13",2018-07-05,22,6.18,3,3.61,6.21,5.36,45,4.27,7.65,0.87,4.06
"4","0.5_PATS_13_2018-07-05_4","PATS","0.5","13",2018-07-05,24,6.76,3,3.61,5.61,6.11,45,4.27,7.9,0.25,4.2
"5","1.3_PATS_13_2018-07-05_1","PATS","1.3","13",2018-07-05,21,5.88,2,3.06,6.36,5.18,48,4.76,7.77,0.58,3.89
"6","1.3_PATS_13_2018-07-05_2","PATS","1.3","13",2018-07-05,16,4.26,2,3.06,6.08,5.53,44,4.11,8,0,3.39
"7","1.3_PATS_13_2018-07-05_3","PATS","1.3","13",2018-07-05,21,5.88,3,3.61,5.94,5.7,45,4.27,7.77,0.58,4.01
"8","1.3_PATS_13_2018-07-05_4","PATS","1.3","13",2018-07-05,19,5.29,2,3.06,6.19,5.39,49,4.92,7.87,0.32,3.8
"9","1.8_PATS_13_2018-07-05_1","PATS","1.8","13",2018-07-05,23,6.47,4,4.17,6.26,5.3,46,4.44,6.77,3.08,4.69
"10","1.8_PATS_13_2018-07-05_2","PATS","1.8","13",2018-07-05,16,4.26,2,3.06,6.22,5.35,45,4.27,7.38,1.55,3.7
"11","1.8_PATS_13_2018-07-05_3","PATS","1.8","13",2018-07-05,21,5.88,3,3.61,5.51,6.24,48,4.76,6.17,4.58,5.01
"12","1.8_PATS_13_2018-07-05_4","PATS","1.8","13",2018-07-05,15,3.97,3,3.61,4.76,7.18,45,4.27,5.45,6.38,5.08
