amphipoda,amphipoda,
anafroptilum_sp.,,x
anchytarsus_sp.,anchytarsus_sp.,
"cricotopus_sp._""""""""ozarks""""""""","cricotopus_sp._""""""""ozarks""""""""",
"cricotopus_sp._""santa_fe""",,x
frenesia_sp.,,x
gillotia_sp.,gillotia_sp.,
glutops_sp.,glutops_sp.,
heterotanytarsus_sp.,heterotanytarsus_sp.,
kiefferulus_sp.,,x
mollusca,mollusca,
nigronia_serricornis,nigronia_serricornis,
pelocoris_sp.,pelocoris_sp.,
pseudosmittia_sp.,pseudosmittia_sp.,
stempellina_sp.,stempellina_sp.,
suwallia_marginata,suwallia_marginata,
tricorythodes_sp.,tricorythodes_sp.,
undetermined_ephemerellidae,undetermined_ephemerellidae,
undetermined_odontoceridae,undetermined_odontoceridae,
zavrelimyia_sp.,zavrelimyia_sp.,
